id,iso3,country_en,country_zh,region_en,region_zh,Type,local_id1,hasc1
1,ARG,Argentina,阿根廷,Buenos Aires,布宜诺斯艾利斯省,Province,,AR.BA
2,ARG,Argentina,阿根廷,Catamarca,卡塔马卡省,Province,,AR.CT
3,ARG,Argentina,阿根廷,Chaco,查科省,Province,,AR.CC
4,ARG,Argentina,阿根廷,Chubut,丘布特省,Province,,AR.CH
5,ARG,Argentina,阿根廷,Ciudad de Buenos Aires,布宜诺斯艾利斯市,Federal District,,AR.DF
6,ARG,Argentina,阿根廷,Cordoba,科尔多瓦省,Province,,AR.CB
7,ARG,Argentina,阿根廷,Corrientes,科连特斯省,Province,,AR.CN
8,ARG,Argentina,阿根廷,Entre Rios,恩特雷里奥斯省,Province,,AR.ER
9,ARG,Argentina,阿根廷,Formosa,福莫萨省,Province,,AR.FM
10,ARG,Argentina,阿根廷,Jujuy,胡胡伊省,Province,,AR.JY
11,ARG,Argentina,阿根廷,La Pampa,拉潘帕省,Province,,AR.LP
12,ARG,Argentina,阿根廷,La Rioja,拉里奥哈省,Province,,AR.LR
13,ARG,Argentina,阿根廷,Mendoza,门多萨省,Province,,AR.MZ
14,ARG,Argentina,阿根廷,Misiones,米西奥内斯省,Province,,AR.MN
15,ARG,Argentina,阿根廷,Neuquen,内乌肯省,Province,,AR.NQ
16,ARG,Argentina,阿根廷,Rio Negro,内格罗河省,Province,,AR.RN
17,ARG,Argentina,阿根廷,Salta,萨尔塔省,Province,,AR.SA
18,ARG,Argentina,阿根廷,San Juan,圣胡安省,Province,,AR.SJ
19,ARG,Argentina,阿根廷,San Luis,圣路易斯省,Province,,AR.SL
20,ARG,Argentina,阿根廷,Santa Cruz,圣克鲁斯省,Province,,AR.SC
21,ARG,Argentina,阿根廷,Santa Fe,圣菲省,Province,,AR.SF
22,ARG,Argentina,阿根廷,Santiago del Estero,圣地亚哥-德尔埃斯特罗省,Province,,AR.SE
23,ARG,Argentina,阿根廷,Tierra del Fuego,火地省,National Territory,,AR.TF
24,ARG,Argentina,阿根廷,Tucuman,图库曼省,Province,,AR.TM
25,AUS,Australia,澳大利亚,Australian Capital Territory,澳大利亚首都领地,Territory,8,AU.AC
26,AUS,Australia,澳大利亚,New South Wales,新南威尔士州,State,1,AU.NS
27,AUS,Australia,澳大利亚,Northern Territory,北领地,Territory,7,AU.NT
28,AUS,Australia,澳大利亚,Queensland,昆士兰州,State,3,AU.QL
29,AUS,Australia,澳大利亚,South Australia,南澳大利亚州,State,4,AU.SA
30,AUS,Australia,澳大利亚,Tasmania,塔斯马尼亚州,State,6,AU.TS
31,AUS,Australia,澳大利亚,Victoria,维多利亚州,State,2,AU.VI
32,AUS,Australia,澳大利亚,Western Australia,西澳大利亚州,State,5,AU.WA
41,AUT,Austria,奥地利,Burgenland,布尔根兰州,State,,AT.BU
38,AUT,Austria,奥地利,Kärnten,克恩顿州,State,,AT.KA
36,AUT,Austria,奥地利,Niederösterreich,下奥地利州,State,,AT.NO
40,AUT,Austria,奥地利,Oberösterreich,上奥地利州,State,,AT.OO
34,AUT,Austria,奥地利,Salzburg,萨尔茨堡州,State,,AT.SZ
35,AUT,Austria,奥地利,Steiermark,施蒂利亚州,State,,AT.ST
33,AUT,Austria,奥地利,Tirol,蒂罗尔州,State,,AT.TR
39,AUT,Austria,奥地利,Vorarlberg,福拉尔贝格州,State,,AT.VO
37,AUT,Austria,奥地利,Wien,维也纳州,State,,AT.WI
42,,Belgium,比利时,Flanders,弗拉芒大区,,,
43,,Belgium,比利时,Brussels,布鲁塞尔-首都大区,,,
44,,Belgium,比利时,Wallonia,瓦隆大区,,,
45,BRA,Brazil,巴西,Acre,阿克里州,State,,BR.AC
52,BRA,Brazil,巴西,Alagoas,阿拉戈斯州,State,,BR.AL
46,BRA,Brazil,巴西,Amapá,阿马帕州,State,,BR.AP
47,BRA,Brazil,巴西,Amazonas,亚马孙州,State,,BR.AM
53,BRA,Brazil,巴西,Bahia,巴伊亚州,State,,BR.BA
54,BRA,Brazil,巴西,Ceará,塞阿腊州,State,,BR.CE
68,BRA,Brazil,巴西,Distrito Federal,联邦区,Federal District,,BR.DF
61,BRA,Brazil,巴西,Espirito Santo,圣埃斯皮里图州,State,,BR.ES
69,BRA,Brazil,巴西,Goiás,戈亚斯州,State,,BR.GO
55,BRA,Brazil,巴西,Maranhão,马拉尼昂州,State,,BR.MA
70,BRA,Brazil,巴西,Mato Grosso,马托格罗索州,State,,BR.MT
71,BRA,Brazil,巴西,Mato Grosso do Sul,南马托格罗索州,State,,BR.MS
62,BRA,Brazil,巴西,Minas Gerais,米纳斯吉拉斯州,State,,BR.MG
48,BRA,Brazil,巴西,Pará,帕拉州,State,,BR.PB
56,BRA,Brazil,巴西,Paraíba,帕拉伊巴州,State,,BR.PA
65,BRA,Brazil,巴西,Paraná,巴拉那州,State,,BR.PR
57,BRA,Brazil,巴西,Pernambuco,伯南布哥州,State,,BR.PE
58,BRA,Brazil,巴西,Piauí,皮奥伊州,State,,BR.PI
63,BRA,Brazil,巴西,Rio de Janeiro,里约热内卢州,State,,BR.RJ
59,BRA,Brazil,巴西,Rio Grande do Norte,北里约格朗德州,State,,BR.RN
66,BRA,Brazil,巴西,Rio Grande do Sul,南里约格朗德州,State,,BR.RS
49,BRA,Brazil,巴西,Rondônia,朗多尼亚州,State,,BR.RO
50,BRA,Brazil,巴西,Roraima,罗赖马州,State,,BR.RR
