,date,iso3,admin0_name,admin1_hasc,admin1_name,confirmed,death,recovered
1,2020-05-06,ARG,Argentina,AR.BA,Buenos Aires,729,47,120
3,2020-05-06,ARG,Argentina,AR.CC,Chaco,191,9,56
4,2020-05-06,ARG,Argentina,AR.CH,Chubut,1,,
5,2020-05-06,ARG,Argentina,AR.DF,Ciudad de Buenos Aires,648,32,301
6,2020-05-06,ARG,Argentina,AR.CB,Cordoba,228,6,38
7,2020-05-06,ARG,Argentina,AR.CN,Corrientes,31,,5
8,2020-05-06,ARG,Argentina,AR.ER,Entre Rios,21,,10
10,2020-05-06,ARG,Argentina,AR.JY,Jujuy,5,,3
11,2020-05-06,ARG,Argentina,AR.LP,La Pampa,5,,
12,2020-05-06,ARG,Argentina,AR.LR,La Rioja,31,2,2
13,2020-05-06,ARG,Argentina,AR.MZ,Mendoza,63,5,5
14,2020-05-06,ARG,Argentina,AR.MN,Misiones,3,,
15,2020-05-06,ARG,Argentina,AR.NQ,Neuquen,91,4,2
16,2020-05-06,ARG,Argentina,AR.RN,Rio Negro,106,2,7
17,2020-05-06,ARG,Argentina,AR.SA,Salta,4,,
18,2020-05-06,ARG,Argentina,AR.SJ,San Juan,2,,
19,2020-05-06,ARG,Argentina,AR.SL,San Luis,11,,6
20,2020-05-06,ARG,Argentina,AR.SC,Santa Cruz,40,,5
21,2020-05-06,ARG,Argentina,AR.SF,Santa Fe,209,2,27
22,2020-05-06,ARG,Argentina,AR.SE,Santiago del Estero,12,,3
23,2020-05-06,ARG,Argentina,AR.TF,Tierra del Fuego,110,,36
24,2020-05-06,ARG,Argentina,AR.TM,Tucuman,30,3,3
25,2020-05-06,AUS,Australia,AU.AC,Australian Capital Territory,107,3,103
26,2020-05-06,AUS,Australia,AU.NS,New South Wales,3044,44,2463
27,2020-05-06,AUS,Australia,AU.NT,Northern Territory,29,,27
28,2020-05-06,AUS,Australia,AU.QL,Queensland,1045,6,989
29,2020-05-06,AUS,Australia,AU.SA,South Australia,438,4,432
30,2020-05-06,AUS,Australia,AU.TS,Tasmania,226,13,167
31,2020-05-06,AUS,Australia,AU.VI,Victoria,1454,18,1322
32,2020-05-06,AUS,Australia,AU.WA,Western Australia,551,9,528
33,2020-05-06,AUT,Austria,AT.TR,Tirol,3512,106,3271
34,2020-05-06,AUT,Austria,AT.SZ,Salzburg,1214,36,1132
35,2020-05-06,AUT,Austria,AT.ST,Steiermark,1784,134,1333
36,2020-05-06,AUT,Austria,AT.NO,Niederösterreich,2661,95,2369
37,2020-05-06,AUT,Austria,AT.WI,Wien,2587,137,1928
38,2020-05-06,AUT,Austria,AT.KA,Kärnten,411,13,385
39,2020-05-06,AUT,Austria,AT.VO,Vorarlberg,875,19,826
40,2020-05-06,AUT,Austria,AT.OO,Oberösterreich,2259,57,2131
41,2020-05-06,AUT,Austria,AT.BU,Burgenland,330,11,264
45,2020-05-06,BRA,Brazil,BR.AC,Acre,943,33,
46,2020-05-06,BRA,Brazil,BR.AP,Amapá,2046,56,
47,2020-05-06,BRA,Brazil,BR.AM,Amazonas,9243,751,
48,2020-05-06,BRA,Brazil,BR.PB,Pará,5017,392,
49,2020-05-06,BRA,Brazil,BR.RO,Rondônia,943,33,
50,2020-05-06,BRA,Brazil,BR.RR,Roraima,932,13,
51,2020-05-06,BRA,Brazil,BR.TO,Tocantins,351,9,
52,2020-05-06,BRA,Brazil,BR.AL,Alagoas,1703,89,
53,2020-05-06,BRA,Brazil,BR.BA,Bahia,4301,160,
54,2020-05-06,BRA,Brazil,BR.CE,Ceará,12304,848,
55,2020-05-06,BRA,Brazil,BR.MA,Maranhão,5028,291,
56,2020-05-06,BRA,Brazil,BR.PA,Paraíba,1493,92,
57,2020-05-06,BRA,Brazil,BR.PE,Pernambuco,9881,803,
58,2020-05-06,BRA,Brazil,BR.PI,Piauí,949,30,
59,2020-05-06,BRA,Brazil,BR.RN,Rio Grande do Norte,1574,72,
60,2020-05-06,BRA,Brazil,BR.SE,Sergipe,998,23,
61,2020-05-06,BRA,Brazil,BR.ES,Espirito Santo,3568,145,
62,2020-05-06,BRA,Brazil,BR.MG,Minas Gerais,2605,97,
63,2020-05-06,BRA,Brazil,BR.RJ,Rio de Janeiro,13295,1205,
64,2020-05-06,BRA,Brazil,BR.SC,São Paulo,37853,3045,
65,2020-05-06,BRA,Brazil,BR.PR,Paraná,1627,101,
66,2020-05-06,BRA,Brazil,BR.RS,Rio Grande do Sul,2050,87,
67,2020-05-06,BRA,Brazil,BR.SP,Santa Catarina,2917,59,
68,2020-05-06,BRA,Brazil,BR.DF,Distrito Federal,1906,34,
69,2020-05-06,BRA,Brazil,BR.GO,Goiás,1024,45,
70,2020-05-06,BRA,Brazil,BR.MT,Mato Grosso,379,13,
71,2020-05-06,BRA,Brazil,BR.MS,Mato Grosso do Sul,288,10,
72,2020-05-06,CAN,Canada,CA.AB,Alberta,5963,112,
73,2020-05-06,CAN,Canada,CA.BC,British Columbia,2255,124,
75,2020-05-06,CAN,Canada,CA.MB,Manitoba,286,7,
76,2020-05-06,CAN,Canada,CA.NB,New Brunswick,120,,
77,2020-05-06,CAN,Canada,CA.NF,Newfoundland and Labrador,259,3,
78,2020-05-06,CAN,Canada,CA.NS,Nova Scotia,998,41,
79,2020-05-06,CAN,Canada,CA.ON,Ontario,19910,1560,
80,2020-05-06,CAN,Canada,CA.PE,Prince Edward Island,27,0,
81,2020-05-06,CAN,Canada,CA.QC,Quebec,34334,2511,
82,2020-05-06,CAN,Canada,CA.SK,Saskatchewan,512,7,
84,2020-05-06,CAN,Canada,CA.NT,Northwest Territories,5,,
85,2020-05-06,CAN,Canada,CA.YT,Yukon,11,,
86,2020-05-06,CHL,Chile,CL.AN,Antofagasta,855,7,
87,2020-05-06,CHL,Chile,CL.AR,Araucanía,1362,36,
88,2020-05-06,CHL,Chile,CL.AP,Arica y Parinacota,328,5,
89,2020-05-06,CHL,Chile,CL.AT,Atacama,80,,
90,2020-05-06,CHL,Chile,CL.AI,Aysén,7,,
91,2020-05-06,CHL,Chile,CL.BI,Biobío,789,8,
92,2020-05-06,CHL,Chile,CL.CO,Coquimbo,97,,
93,2020-05-06,CHL,Chile,CL.LG,Los Lagos,541,10,
94,2020-05-06,CHL,Chile,CL.LR,Los Ríos,200,5,
95,2020-05-06,CHL,Chile,CL.MA,Magallanes,818,11,
96,2020-05-06,CHL,Chile,CL.ML,Maule,408,14,
97,2020-05-06,CHL,Chile,CL.RM,Santiago Metropolitan,15582,150,
98,2020-05-06,CHL,Chile,CL.NB,Ñuble,145,3,
99,2020-05-06,CHL,Chile,CL.LI,O'Higgins,339,1,
100,2020-05-06,CHL,Chile,CL.TP,Tarapacá,716,16,
101,2020-05-06,CHL,Chile,CL.VS,Valparaíso,791,17,
244,2020-05-06,DEU,Germany,DE.RP,Rheinland-Pfalz,6213,189,
245,2020-05-06,DEU,Germany,DE.SH,Schleswig-Holstein,2834,120,
247,2020-05-06,DEU,Germany,DE.HE,Hessen,8736,396,
248,2020-05-06,DEU,Germany,DE.BW,Baden-Württemberg,32762,1497,
249,2020-05-06,DEU,Germany,DE.BY,Bayern,43658,2050,
250,2020-05-06,DEU,Germany,DE.NW,Nordrhein-Westfalen,34249,1372,
251,2020-05-06,DEU,Germany,DE.HB,Bremen,963,32,
252,2020-05-06,DEU,Germany,DE.HH,Hamburg,4704,194,
253,2020-05-06,DEU,Germany,DE.NI,Niedersachsen,10564,478,
254,2020-05-06,DEU,Germany,DE.BE,Berlin,6149,162,
255,2020-05-06,DEU,Germany,DE.BR,Brandenburg,2999,129,
256,2020-05-06,DEU,Germany,DE.SN,Sachsen,4836,181,
257,2020-05-06,DEU,Germany,DE.TH,Thüringen,2452,109,
258,2020-05-06,DEU,Germany,DE.SL,Saarland,2655,143,
259,2020-05-06,DEU,Germany,DE.MV,Mecklenburg-Vorpommern,715,19,
260,2020-05-06,DEU,Germany,DE.ST,Sachsen-Anhalt,1602,48,
261,2020-05-06,IND,India,IN.KL,Kerala,469,,
262,2020-05-06,IND,India,IN.DD,Delhi,2918,,
263,2020-05-06,IND,India,IN.TG,Telangana,1001,,
264,2020-05-06,IND,India,IN.RJ,Rajasthan,2185,,
265,2020-05-06,IND,India,IN.HR,Haryana,296,,
266,2020-05-06,IND,India,IN.UP,Uttar Pradesh,1873,,
267,2020-05-06,IND,India,IN.LD,Ladakh,20,,
268,2020-05-06,IND,India,IN.TN,Tamil Nadu,1885,,
269,2020-05-06,IND,India,IN.JK,Jammu and Kashmir,523,,
270,2020-05-06,IND,India,IN.KA,Karnataka,503,,
271,2020-05-06,IND,India,IN.MH,Maharashtra,8068,,
272,2020-05-06,IND,India,IN.PB,Punjab,322,,
273,2020-05-06,IND,India,IN.AP,Andhra Pradesh,1097,,
274,2020-05-06,IND,India,IN.UT,Uttarakhand,51,,
275,2020-05-06,IND,India,IN.OR,Odisha,103,,
276,2020-05-06,IND,India,IN.PY,Puducherry,8,,
277,2020-05-06,IND,India,IN.WB,West Bengal,611,,
278,2020-05-06,IND,India,IN.CH,Chandigarh,36,,
279,2020-05-06,IND,India,IN.CT,Chhattisgarh,37,,
280,2020-05-06,IND,India,IN.GJ,Gujarat,3301,,
281,2020-05-06,IND,India,IN.HP,Himachal Pradesh,40,,
282,2020-05-06,IND,India,IN.MP,Madhya Pradesh,2090,,
283,2020-05-06,IND,India,IN.BR,Bihar,277,,
284,2020-05-06,IND,India,IN.MN,Manipur,2,,
285,2020-05-06,IND,India,IN.MZ,Mizoram,1,,
286,2020-05-06,IND,India,IN.GA,Goa,7,,
287,2020-05-06,IND,India,IN.AN,Andaman and Nicobar Islands,33,,
288,2020-05-06,IND,India,IN.JH,Jharkhand,82,,
